day,Calopeia,Sorange,Tyran,Entworpe,Fardo
260,46,0,0,0,0
261,45,0,0,0,0
262,77,0,0,0,0
263,74,0,0,0,0
264,42,0,0,0,0
265,22,0,0,0,0
266,88,0,0,0,0
267,70,0,0,0,0
268,43,0,0,0,0
269,47,0,0,0,0
270,46,0,0,0,0
271,44,0,0,0,0
272,53,0,0,0,0
273,38,0,0,0,0
274,44,0,0,0,0
275,37,0,0,0,0
276,10,0,0,0,0
277,40,0,0,0,0
278,26,0,0,0,0
279,16,0,0,0,0
280,24,0,0,0,0
281,38,0,0,0,0
282,33,0,0,0,0
283,38,0,0,0,0
284,67,0,0,0,0
285,22,0,0,0,0
286,12,0,0,0,0
287,33,0,0,0,0
288,33,0,0,0,0
289,44,0,0,0,0
290,27,0,0,0,0
291,58,0,0,0,0
292,20,0,0,0,0
293,29,0,0,0,0
294,18,0,0,0,0
295,62,0,0,0,0
296,10,0,0,0,0
297,4,0,0,0,0
298,23,0,0,0,0
299,14,0,0,0,0
300,34,0,0,0,0
301,10,0,0,0,0
302,10,0,0,0,0
303,14,0,0,0,0
304,16,0,0,0,0
305,10,0,0,0,0
306,18,0,0,0,0
307,12,0,0,0,0
308,36,0,0,0,0
309,20,0,0,0,0
310,3,0,0,0,0
311,12,0,0,0,0
312,18,0,0,0,0
313,9,0,0,0,0
314,6,0,0,0,0
315,26,0,0,0,0
316,13,0,0,0,0
317,16,0,0,0,0
318,10,0,0,0,0
319,7,0,0,0,0
320,6,0,0,0,0
321,20,0,0,0,0
322,13,0,0,0,0
323,6,0,0,0,0
324,38,0,0,0,0
325,18,0,0,0,0
326,7,0,0,0,0
327,6,0,0,0,0
328,5,0,0,0,0
329,13,0,0,0,0
330,19,0,0,0,0
331,24,0,0,0,0
332,6,0,0,0,0
333,18,0,0,0,0
334,2,0,0,0,0
335,10,0,0,0,0
336,12,0,0,0,0
337,11,0,0,0,0
338,5,0,0,0,0
339,4,0,0,0,0
340,26,0,0,0,0
341,2,0,0,0,0
342,14,0,0,0,0
343,31,0,0,0,0
344,28,0,0,0,0
345,5,0,0,0,0
346,3,0,0,0,0
347,4,0,0,0,0
348,4,0,0,0,0
349,10,0,0,0,0
350,3,0,0,0,0
351,2,0,0,0,0
352,3,0,0,0,0
353,29,0,0,0,0
354,15,0,0,0,0
355,4,0,0,0,0
356,5,0,0,0,0
357,7,0,0,0,0
358,1,0,0,0,0
359,41,0,0,0,0
360,3,0,0,0,0
361,3,0,0,0,0
362,6,0,0,0,0
363,12,0,0,0,0
364,10,0,0,0,0
365,14,0,0,0,0
366,5,0,0,0,0
367,4,0,0,0,0
368,9,0,0,0,0
369,9,0,0,0,0
370,1,0,0,0,0
371,29,0,0,0,0
372,6,0,0,0,0
373,4,0,0,0,0
374,1,0,0,0,0
375,13,0,0,0,0
376,2,0,0,0,0
377,2,0,0,0,0
378,26,0,0,0,0
379,6,0,0,0,0
380,2,0,0,0,0
381,18,0,0,0,0
382,11,0,0,0,0
383,9,0,0,0,0
384,7,0,0,0,0
385,31,0,0,0,0
386,18,0,0,0,0
387,30,0,0,0,0
388,2,0,0,0,0
389,8,0,0,0,0
390,15,0,0,0,0
391,26,0,0,0,0
392,6,0,0,0,0
393,16,0,0,0,0
394,13,0,0,0,0
395,10,0,0,0,0
396,4,0,0,0,0
397,21,0,0,0,0
398,11,0,0,0,0
399,5,0,0,0,0
400,4,0,0,0,0
401,18,0,0,0,0
402,21,0,0,0,0
403,24,0,0,0,0
404,4,0,0,0,0
405,5,0,0,0,0
406,12,0,0,0,0
407,18,0,0,0,0
408,10,0,0,0,0
409,9,0,0,0,0
410,33,0,0,0,0
411,22,0,0,0,0
412,63,0,0,0,0
413,25,0,0,0,0
414,19,0,0,0,0
415,20,0,0,0,0
416,15,0,0,0,0
417,21,0,0,0,0
418,25,0,0,0,0
419,15,0,0,0,0
420,23,0,0,0,0
421,16,0,0,0,0
422,19,0,0,0,0
423,18,0,0,0,0
424,22,0,0,0,0
425,23,0,0,0,0
426,27,0,0,0,0
427,19,0,0,0,0
428,47,0,0,0,0
429,15,0,0,0,0
430,5,0,0,0,0
431,17,0,0,0,0
432,39,0,0,0,0
433,16,0,0,0,0
434,43,0,0,0,0
435,19,0,0,0,0
436,51,0,0,0,0
437,27,0,0,0,0
438,28,0,0,0,0
439,48,0,0,0,0
440,14,0,0,0,0
441,26,0,0,0,0
442,46,0,0,0,0
443,38,0,0,0,0
444,13,0,0,0,0
445,19,0,0,0,0
446,48,0,0,0,0
447,37,0,0,0,0
448,49,0,0,0,0
449,40,0,0,0,0
450,49,0,0,0,0
451,37,0,0,0,0
452,38,0,0,0,0
453,46,0,0,0,0
454,31,0,0,0,0
455,41,0,0,0,0
456,16,0,0,0,0
457,23,0,0,0,0
458,26,0,0,0,0
459,40,0,0,0,0
460,47,0,0,0,0
461,25,0,0,0,0
462,26,0,0,0,0
463,51,0,0,0,0
464,28,0,0,0,0
465,46,0,0,0,0
466,45,0,0,0,0
467,43,0,0,0,0
468,26,0,0,0,0
469,50,0,0,0,0
470,26,0,0,0,0
471,64,0,0,0,0
472,33,0,0,0,0
473,57,0,0,0,0
474,38,0,0,0,0
475,36,0,0,0,0
476,40,0,0,0,0
477,36,0,0,0,0
478,79,0,0,0,0
479,43,0,0,0,0
480,47,0,0,0,0
481,57,0,0,0,0
482,37,0,0,0,0
483,30,0,0,0,0
484,38,0,0,0,0
485,79,0,0,0,0
486,46,0,0,0,0
487,42,0,0,0,0
488,43,0,0,0,0
489,58,0,0,0,0
490,49,0,0,0,0
491,42,0,0,0,0
492,59,0,0,0,0
493,72,0,0,0,0
494,48,0,0,0,0
495,55,0,0,0,0
496,59,0,0,0,0
497,32,0,0,0,0
498,32,0,0,0,0
499,92,0,0,0,0
500,51,0,0,0,0
501,39,0,0,0,0
502,24,0,0,0,0
503,71,0,0,0,0
504,88,0,0,0,0
505,38,0,0,0,0
506,59,0,0,0,0
507,55,0,0,0,0
508,55,0,0,0,0
509,75,0,0,0,0
510,28,0,0,0,0
511,90,0,0,0,0
512,27,0,0,0,0
513,32,0,0,0,0
514,58,0,0,0,0
515,78,0,0,0,0
516,48,0,0,0,0
517,97,0,0,0,0
518,106,0,0,0,0
519,53,0,0,0,0
520,43,0,0,0,0
521,59,0,0,0,0
522,28,0,0,0,0
523,70,0,0,0,0
524,72,0,0,0,0
525,80,0,0,0,0
526,53,0,0,0,0
527,52,0,0,0,0
528,64,0,0,0,0
529,66,0,0,0,0
530,62,0,0,0,0
531,66,0,0,0,0
532,94,0,0,0,0
533,88,0,0,0,0
534,37,0,0,0,0
535,71,0,0,0,0
536,89,0,0,0,0
537,83,0,0,0,0
538,72,0,0,0,0
539,86,0,0,0,0
540,53,0,0,0,0
541,72,0,0,0,0
542,107,0,0,0,0
543,42,0,0,0,0
544,76,0,0,0,0
545,44,0,0,0,0
546,45,0,0,0,0
547,63,0,0,0,0
548,53,0,0,0,0
549,98,0,0,0,0
550,89,0,0,0,0
551,92,0,0,0,0
552,51,0,0,0,0
553,79,0,0,0,0
554,95,0,0,0,0
555,108,0,0,0,0
556,61,0,0,0,0
557,47,0,0,0,0
558,73,0,0,0,0
559,64,0,0,0,0
560,45,0,0,0,0
561,64,0,0,0,0
562,74,0,0,0,0
563,75,0,0,0,0
564,59,0,0,0,0
565,52,0,0,0,0
566,71,0,0,0,0
567,44,0,0,0,0
568,59,0,0,0,0
569,48,0,0,0,0
570,76,0,0,0,0
571,62,0,0,0,0
572,41,0,0,0,0
573,49,0,0,0,0
574,72,0,0,0,0
575,81,0,0,0,0
576,101,0,0,0,0
577,103,0,0,0,0
578,35,0,0,0,0
579,96,0,0,0,0
580,77,0,0,0,0
581,57,0,0,0,0
582,81,0,0,0,0
583,74,0,0,0,0
584,52,0,0,0,0
585,73,0,0,0,0
586,58,0,0,0,0
587,93,0,0,0,0
588,33,0,0,0,0
589,42,0,0,0,0
590,59,0,0,0,0
591,75,0,0,0,0
592,34,0,0,0,0
593,77,0,0,0,0
594,64,0,0,0,0
595,57,0,0,0,0
596,91,0,0,0,0
597,74,0,0,0,0
598,84,0,0,0,0
599,30,0,0,0,0
600,35,0,0,0,0
601,45,0,0,0,0
602,55,0,0,0,0
603,53,0,0,0,0
604,64,0,0,0,0
605,56,0,0,0,0
606,75,0,0,0,0
607,80,0,0,0,0
608,30,0,0,0,0
609,60,0,0,0,0
610,71,0,0,0,0
611,60,0,0,0,0
612,50,0,0,0,0
613,66,0,0,0,0
614,67,0,0,0,0
615,46,0,0,0,0
616,48,0,0,0,0
617,71,0,0,0,0
618,68,0,0,0,0
619,22,0,0,0,0
620,36,0,0,0,0
621,41,0,0,0,0
622,36,0,0,0,0
623,58,0,0,0,0
624,63,0,0,0,0
625,29,0,0,0,0
626,29,0,0,0,0
627,42,0,0,0,0
628,75,0,0,0,0
629,85,0,0,0,0
630,61,0,0,0,0
631,47,0,0,0,0
632,39,0,0,0,0
633,49,0,0,0,0
634,54,0,0,0,0
635,25,0,0,0,0
636,32,0,0,0,0
637,31,0,0,0,0
638,36,0,0,0,0
639,48,0,0,0,0
640,32,17,5,0,3
641,50,0,0,0,0
642,21,0,0,0,0
643,34,0,0,0,0
644,49,6,0,0,0
645,18,0,3,250,0
646,33,0,0,0,0
647,30,0,0,0,1
648,35,0,3,0,0
649,18,0,0,0,7
650,33,0,9,0,0
651,26,0,0,0,12
652,34,0,3,0,0
653,34,0,12,0,21
654,30,0,4,0,4
655,37,0,3,0,6
656,65,0,2,0,10
657,16,0,10,0,19
658,15,0,5,0,8
659,17,4,6,0,13
660,14,0,8,0,31
661,54,0,31,0,7
662,17,14,4,0,50
663,33,0,34,0,29
664,12,5,35,0,62
665,15,0,7,0,5
666,21,0,6,0,12
667,16,2,11,0,9
668,24,0,17,0,11
669,19,5,19,0,5
670,10,6,16,250,23
671,26,0,25,0,60
672,39,41,52,0,36
673,23,0,23,250,5
674,14,3,32,0,27
675,16,3,31,0,35
676,26,0,28,0,8
677,21,4,35,0,17
678,29,15,64,0,0
679,7,0,48,0,0
680,13,5,11,0,3
681,40,6,5,0,46
682,4,8,3,0,0
683,22,31,10,0,18
684,9,0,10,0,0
685,11,6,2,0,83
686,29,8,52,0,41
687,13,1,0,0,32
688,56,10,12,0,2
689,12,2,51,0,13
690,19,5,17,0,0
691,12,16,11,0,5
692,26,15,0,0,0
693,11,12,35,0,2
694,21,7,2,0,13
695,9,11,46,0,8
696,11,3,1,0,9
697,6,16,7,0,6
698,8,4,9,0,17
699,10,8,9,0,0
700,12,18,47,250,1
701,3,2,0,0,26
702,38,11,0,0,4
703,11,3,10,0,35
704,13,4,24,0,6
705,2,10,22,0,6
706,23,20,9,0,4
707,9,2,28,0,29
708,5,5,3,0,32
709,10,4,0,0,16
710,9,29,21,0,27
711,10,2,21,0,0
712,11,10,10,0,21
713,9,4,42,0,0
714,5,1,9,0,34
715,6,13,37,0,0
716,27,4,4,0,16
717,3,26,38,0,35
718,1,7,9,0,19
719,4,12,13,0,18
720,27,2,2,0,25
721,2,17,36,0,3
722,13,3,19,0,6
723,1,26,8,0,0
724,27,17,2,0,25
725,3,2,36,0,15
726,17,9,25,0,0
727,2,20,43,0,32
728,8,45,4,0,11
729,4,11,13,0,0
730,10,10,2,0,3
731,13,4,2,0,10
732,12,11,0,0,12
733,2,26,10,0,9
734,11,7,19,0,3
735,7,15,11,0,18
736,1,6,10,250,0
737,11,18,6,0,23
738,5,27,17,0,14
739,3,20,3,0,10
740,6,6,32,250,34
741,2,7,3,0,13
742,11,6,42,0,35
743,2,24,16,0,4
744,11,7,11,0,3
745,16,4,26,0,5
746,27,31,15,0,11
747,4,24,12,0,0
748,18,9,13,0,28
749,9,16,4,0,3
750,23,13,9,250,4
751,9,54,4,0,15
752,18,13,48,0,18
753,15,40,20,250,62
754,4,5,3,0,15
755,7,4,14,0,3
756,7,10,0,0,14
757,16,34,20,0,1
758,5,9,21,0,0
759,7,10,0,0,1
760,6,23,21,0,9
761,8,41,24,0,3
762,6,11,10,0,28
763,7,4,7,250,30
764,6,14,42,0,37
765,8,11,16,250,14
766,21,39,8,250,29
767,15,5,0,250,27
768,9,18,15,0,2
769,31,37,45,0,5
770,16,18,6,0,16
771,12,16,0,0,87
772,2,19,3,0,35
773,12,19,13,0,55
774,30,38,50,0,19
775,31,39,33,0,0
776,13,10,0,0,16
777,15,17,24,0,11
778,9,10,0,0,11
779,15,11,45,0,41
780,27,49,16,0,35
781,61,40,55,0,2
782,15,25,32,250,27
783,13,10,16,0,3
784,8,19,18,0,2
785,18,21,2,0,7
786,8,29,13,0,4
787,18,17,41,0,15
788,31,29,37,0,7
789,40,32,21,0,5
790,23,8,5,0,35
791,4,24,0,0,18
792,19,31,0,0,15
793,25,26,16,0,7
794,26,33,7,0,30
795,39,33,22,0,9
796,28,39,8,250,0
797,29,29,42,0,0
798,45,27,36,0,19
799,23,52,1,0,2
800,25,19,18,0,57
801,18,27,2,0,38
802,42,19,0,0,11
803,30,12,13,0,11
804,43,39,29,0,0
805,33,5,11,0,43
806,49,37,4,0,42
807,24,62,57,0,0
808,23,7,46,0,22
809,42,24,28,0,13
810,25,46,2,0,24
811,26,39,64,0,12
812,49,62,34,0,17
813,41,23,1,0,26
814,15,19,0,0,18
815,21,30,12,0,35
816,36,16,22,0,17
817,39,36,20,0,8
818,11,16,13,0,15
819,42,43,57,0,50
820,40,19,31,0,12
821,13,29,10,0,8
822,39,37,38,0,15
823,30,32,16,0,17
824,21,16,0,0,6
825,48,47,66,0,9
826,45,14,59,0,5
827,17,26,4,250,42
828,67,27,38,0,32
829,36,25,41,0,24
830,36,34,15,0,24
831,81,29,2,0,5
832,32,35,10,0,13
833,63,27,0,0,22
834,55,97,0,0,0
835,58,45,40,0,40
836,49,15,61,250,13
837,62,9,0,0,0
838,86,33,23,0,49
839,64,29,7,0,40
840,86,45,0,0,1
841,53,25,5,0,21
842,65,22,0,0,0
843,51,40,50,0,0
844,18,16,0,0,50
845,60,21,27,0,0
846,52,26,7,0,12
847,31,46,17,0,49
848,40,26,12,0,23
849,54,40,5,0,0
850,57,32,44,0,4
851,67,15,30,0,0
852,69,42,8,0,10
853,58,25,52,0,8
854,47,17,0,0,59
855,53,40,27,0,8
856,43,89,43,0,13
857,54,35,0,0,8
858,78,18,0,0,16
859,48,31,8,0,16
860,29,17,16,0,50
861,59,31,15,0,12
862,90,12,15,0,4
863,40,19,32,0,8
864,47,29,0,0,32
865,87,26,24,250,11
866,54,78,30,250,48
867,66,24,26,0,38
868,52,42,6,0,24
869,35,23,11,0,13
870,39,12,2,0,9
871,37,75,1,0,21
872,41,33,6,0,0
873,43,45,0,0,21
874,57,22,0,0,22
875,48,44,9,0,0
876,31,28,5,0,2
877,87,53,24,0,11
878,63,57,10,0,48
879,72,15,33,0,19
880,86,43,0,0,1
881,55,41,13,0,16
882,38,56,47,0,52
883,73,25,9,0,3
884,58,18,1,0,61
885,76,29,7,0,6
886,98,34,2,0,17
887,55,36,9,0,28
888,59,38,62,0,0
889,117,46,30,0,35
890,37,20,36,0,21
891,49,42,47,0,0
892,49,35,24,0,55
893,68,19,30,0,39
894,74,47,23,0,29
895,48,22,11,0,53
896,48,63,34,0,20
897,83,44,19,0,11
898,72,22,41,0,40
899,56,31,18,0,31
900,75,46,9,0,7
901,36,31,23,0,0
902,54,40,22,0,16
903,73,67,51,0,2
904,53,12,13,0,4
905,50,97,33,0,13
906,83,30,2,0,7
907,42,38,12,0,13
908,57,75,7,0,60
909,73,29,0,0,41
910,54,54,28,0,22
911,94,84,0,0,11
912,78,51,36,0,3
913,78,51,29,0,15
914,81,40,10,0,1
915,63,50,9,0,8
916,37,46,4,0,11
917,75,60,10,0,20
918,49,65,7,0,0
919,62,68,8,0,12
920,43,52,6,250,0
921,60,29,16,0,7
922,85,68,8,0,38
923,49,30,12,250,41
924,86,39,17,0,3
925,86,17,3,0,9
926,85,57,11,0,32
927,71,37,14,0,17
928,88,61,13,0,17
929,42,37,4,0,4
930,112,46,6,0,55
931,73,58,9,0,17
932,109,31,20,0,27
933,53,35,1,0,15
934,87,38,12,0,12
935,45,82,33,0,23
936,109,58,38,0,2
937,89,23,7,0,59
938,57,38,28,0,3
939,77,60,31,0,0
940,112,51,5,0,18
941,75,43,22,0,8
942,50,56,7,0,0
943,72,52,13,0,19
944,60,46,9,0,3
945,49,70,25,0,1
946,71,50,0,0,3
947,85,59,20,0,14
948,49,87,12,0,45
949,60,42,9,0,4
950,102,52,44,0,0
951,65,39,11,0,21
952,50,37,10,250,25
953,47,70,0,0,0
954,60,30,14,0,17
955,64,46,10,0,12
956,47,52,6,0,20
957,77,43,6,0,10
958,86,51,38,0,6
959,54,37,12,0,22
960,65,69,3,0,0
961,28,32,32,0,31
962,56,55,20,0,80
963,54,48,48,0,3
964,41,50,12,0,10
965,79,78,10,0,19
966,77,26,9,0,43
967,55,54,0,0,11
968,61,83,27,0,17
969,54,82,13,0,0
970,54,44,28,0,13
971,58,32,21,0,0
972,56,85,0,0,8
973,95,44,3,0,11
974,25,27,2,0,0
975,58,69,0,0,15
976,55,65,16,0,19
977,65,70,12,0,7
978,82,50,75,0,8
979,34,46,7,0,5
980,43,43,4,0,12
981,51,51,0,0,11
982,53,60,8,0,22
983,53,43,23,0,2
984,81,41,46,0,6
985,28,71,10,0,27
986,83,45,35,0,7
987,82,62,10,0,21
988,42,51,15,250,15
989,43,47,16,0,23
990,50,90,0,0,30
991,40,40,32,0,0
992,42,37,10,0,17
993,24,34,0,250,0
994,52,23,11,0,23
995,37,43,7,0,49
996,28,97,3,0,28
997,41,46,29,0,58
998,37,23,13,0,27
999,25,47,38,0,0
1000,40,69,15,0,9
1001,48,47,25,0,10
1002,72,68,11,0,9
1003,54,48,23,0,11
1004,25,47,25,0,6
1005,27,73,1,0,15
1006,47,53,7,0,33
1007,24,56,8,0,32
1008,50,62,21,0,57
1009,48,45,3,0,50
1010,53,56,9,0,2
1011,23,55,16,0,4
1012,19,54,2,0,5
1013,28,67,0,0,5
1014,29,63,2,0,13
1015,17,42,8,250,0
1016,21,122,0,0,32
1017,61,66,29,0,9
1018,26,34,28,0,7
1019,40,42,30,0,6
1020,18,62,8,0,4
1021,17,72,2,0,0
1022,10,51,28,0,39
1023,30,30,14,0,5
1024,9,112,5,0,15
1025,48,77,12,0,49
1026,15,65,16,0,5
1027,23,70,22,0,16
1028,29,68,2,0,0
1029,28,72,4,0,9
1030,36,76,6,0,0
1031,22,55,7,0,35
1032,47,50,83,0,5
1033,15,82,18,0,0
1034,16,63,44,0,0
1035,19,43,38,0,17
1036,12,99,39,0,16
1037,28,33,6,0,8
1038,33,39,13,0,12
1039,22,75,0,0,0
1040,16,76,12,0,15
1041,12,39,5,0,18
1042,21,65,24,0,23
1043,59,64,0,0,14
1044,26,53,15,0,4
1045,4,96,11,0,34
1046,11,68,25,0,14
1047,9,60,2,0,0
1048,13,48,7,0,9
1049,7,77,31,0,9
1050,12,84,0,0,14
1051,10,89,2,0,57
1052,8,79,14,250,21
1053,50,33,0,0,7
1054,12,50,58,0,20
1055,10,45,6,0,5
1056,20,85,0,0,25
1057,48,55,30,250,44
1058,5,53,27,0,7
1059,8,55,5,0,0
1060,4,70,16,0,23
1061,13,45,3,0,0
1062,26,77,1,0,24
1063,8,90,0,0,41
1064,44,53,17,0,27
1065,13,41,14,0,10
1066,13,34,8,0,6
1067,6,61,34,0,30
1068,16,64,0,0,31
1069,16,69,46,0,51
1070,2,90,4,0,0
1071,12,80,0,0,0
1072,16,50,5,0,7
1073,2,40,20,0,21
1074,26,62,17,0,21
1075,18,109,24,0,13
1076,25,74,0,0,5
1077,32,52,16,0,4
1078,7,71,36,0,20
1079,9,72,12,0,39
1080,5,38,0,0,0
1081,4,47,47,0,26
1082,32,74,7,0,3
1083,1,97,34,0,10
1084,9,126,31,0,11
1085,8,70,7,0,11
1086,8,110,33,0,35
1087,1,73,30,0,28
1088,8,78,25,0,12
1089,13,73,33,0,0
1090,7,129,19,0,4
1091,25,86,13,0,57
1092,3,75,5,0,47
1093,7,73,27,0,12
1094,7,90,11,0,4
1095,9,61,25,0,0
1096,10,67,44,0,37
1097,6,50,6,0,0
1098,2,50,17,0,1
1099,4,63,33,0,2
1100,8,40,67,0,23
1101,1,58,8,0,0
1102,7,106,8,0,7
1103,3,92,29,0,0
1104,34,86,2,0,25
1105,34,101,0,0,54
1106,10,73,6,0,22
1107,14,104,18,0,20
1108,2,104,0,250,19
1109,5,109,10,0,24
1110,20,45,18,0,25
1111,19,96,11,0,8
1112,13,53,16,0,19
1113,7,75,7,0,50
1114,16,69,0,0,30
1115,19,110,22,0,3
1116,20,106,19,0,9
1117,4,71,40,0,3
1118,3,71,10,0,42
1119,8,95,4,0,24
1120,8,82,0,0,21
1121,8,99,31,0,27
1122,3,102,10,0,45
1123,12,61,0,0,25
1124,13,62,0,0,7
1125,36,76,18,0,20
1126,21,63,16,0,0
1127,3,71,7,0,5
1128,11,56,27,0,41
1129,33,163,52,0,20
1130,30,60,26,0,10
1131,2,67,80,0,18
1132,6,57,40,0,6
1133,20,135,57,0,21
1134,17,49,5,0,27
1135,16,100,2,0,33
1136,23,106,6,0,19
1137,26,77,32,0,0
1138,12,69,0,0,19
1139,19,144,5,0,76
1140,8,75,44,0,5
1141,23,68,3,0,6
1142,21,99,0,0,2
1143,10,64,17,0,0
1144,6,45,27,0,10
1145,23,75,12,0,29
1146,4,77,46,0,27
1147,29,111,27,0,12
1148,48,64,14,0,2
1149,13,110,10,0,0
1150,10,71,0,0,12
1151,13,61,3,0,32
1152,30,63,9,0,36
1153,15,62,3,0,10
1154,36,73,17,0,15
1155,19,88,7,0,15
1156,9,85,42,0,23
1157,25,67,1,0,26
1158,17,74,11,0,5
1159,10,92,6,0,9
1160,15,154,0,0,5
1161,24,47,11,0,27
1162,26,77,45,0,27
1163,36,92,10,0,0
1164,24,94,0,0,56
1165,20,141,19,0,8
1166,21,51,18,0,0
1167,48,98,0,250,12
1168,16,109,7,0,42
1169,20,84,39,0,28
